Title,Perusahaan,Kategori,Lokasi,Skills,Lat,Lon,Klasifikasi
IT Officer,KOPERASI NUSA RAYA CIPTA,Help Desk & IT Support,Jakarta,"Java, Ms Office Word, Excel, PPT, PHP and My SQL, SQL DB MYSQL, MSSQL, POSTGREE ORACLE, Java Android, SQL Database, Server Administration, Programming Language, QA Analyst, Data Analysis, Data Science, System Analysis and Design, Business analyst",-6.1754049,106.827168,IPTEK
Client Support ERP,PT LARONA PRIMA SOLUSI,Help Desk & IT Support,Tabanan,"Akuntansi, Perpajakan",-8.5566523,115.0010149,IPTEK
Front End Developer (Web & Mobile),PT LARONA PRIMA SOLUSI,Front End Developer,Tabanan,"MySQL, Front-End Developer, JS, HTML dan CSS",-8.5566523,115.0010149,IPTEK
IT Support,CV GANGSAR GENSET,IT Support,Surabaya,"IT Hardware dan Software, IT Bussines Development Â Analyst, IT Hardware Support, DHCP Static IP Addresing",-7.2462836,112.7377674,IPTEK
Sales Executive,PT KATALOG INDUK NUSANTARA,Sales Executive,Tangerang,"Communication, Sales",-6.1761924,106.6382161,NON-IPTEK
Full-Stack Software Developer (Mobile & Web),Company Confidential,Full Stack Developer,Jakarta,"Software, Keahlian dalam software Developer Web Mobile",-6.1754049,106.827168,IPTEK
Programmer Full Stack,PT.  LONGMENINDO	NUSANTARA,Full Stack Developer,Jakarta,"Programmer, Java scrip",-6.1754049,106.827168,IPTEK
Product Support Engineer,PT Chandrakarya Dharmajaya,Product Consultant,Jakarta,"IT Hardware dan Software, Teknisi komputer, Instalasi, Trobleshooting, Audio VideO",-6.1754049,106.827168,NON-IPTEK
IT Infrastruktur,PT SUMBER MAHARDHIKA GRAHA (USTP GROUP),IT Support,Lamandau,"IT Hardware dan Software, IT Infrastruktur, Jaringan Design Konfigurasi router MikroTik, Jaringan Komputer Installasi Komputer, Service, Jaringan LAN, WAN",-1.7788744,111.4173165,IPTEK
IT Support,PT Shunda Sucai Indonesia,IT Support,Jakarta,"IT Support, Instalasi jaringan LAN WLAN., CCTV installing, cabling, configuration, voice record",-6.1754049,106.827168,IPTEK
IOS Developer,PT Solusi Inovasi Bangsa (Ide Asia),iOS Developer,Jakarta,iOS Development Swift UI and UI Kit,-6.1754049,106.827168,IPTEK
Business Analyst,PT Solusi Inovasi Bangsa (Ide Asia),Business Analyst,Jakarta,"Banking and Finance, Analyst, Business Analysis, Insurance",-6.1754049,106.827168,IPTEK
Staff Commercial,PT Jinde Grup Indonesia,Sales Engineer,Gresik,"Negosiasi, Market Analist, Penjualan dan pemasaran",-7.1566,112.6555,NON-IPTEK
Backend Developer,PT Solusi Inovasi Bangsa (Ide Asia),Back End Developer,Jakarta,"Node.JS, Backend Golang, Â Java Spring Spring Boot, Quarkus, ZK",-6.1754049,106.827168,IPTEK
Teamleader Teknisi,PT Jinde Grup Indonesia,Manajemen & Strategi IT,Gresik,"Jaringan Internet, Auto Cad 2d 3d, Fiber Optic Installation, Fiber Optic Network and FTTH Configuration",-7.1566,112.6555,IPTEK
Network Operation Center (NOC),PT Jinde Grup Indonesia,Network Operation Center,Gresik,"Jaringan Internet, Mikrotik Installation Configuration., JARINGAN TOPOLOGI - LAN - MAN - WAN - MIKROTIK, Administrasi dan Konfigurasi Jaringan Komputer Administrasi Mikrotik, Maintenance Server, Setting Access Point, Konfigurasi IP address, Instalasi jaringan LAN, WAN, VLAN,",-7.1566,112.6555,IPTEK
Software Sales Executive,PT CIPTA PIRANTI SEJAHTERA,Software Consultant,Remote,"marketing, Penjualan, Sales Marketing, Sales, Penjualan dan pemasaran",,,NON-IPTEK
IT Support,PT MEDIA BERSAMA SUKSES,IT Support,Jakarta,"Teknik jaringan dan informatika, menguasai dasar teknik jaringan komputer",-6.1754049,106.827168,IPTEK
Technical Support,PT TRISATYA TJIPTA MANDIRI,Technical Support,Jakarta,"Konfigurasi dan Maintenance Hardware, Software dan Network.",-6.1754049,106.827168,NON-IPTEK
IT Programmer,PT Rajawali Persada Group,Full Stack Developer,Tangerang,"Fullstack programmer amp, siap dengnan tantangan Program Pembuatan, Pemeliharaan Website dan Hosting. Menguasai HRML, CSS, Laravel, php, javascript dan SQL",-6.1644013,106.4679311,IPTEK
Sales Lapangan,My Republic Singkawang,Sales Lapangan,Singkawang,"Negosiasi, Komunikasi",0.9069861,108.9889657,NON-IPTEK
NOC - Network Operation Center,PT. GLOBAL MEDIA PRATAMA SOLUSINDO,Help Desk & IT Support,Sleman,"Menguasai Jaringan Komputer - Menguasai Setting Jaringan Wireless maupun Fiber Optic - Menguasai Mikrotik, Cisco dan linux ada nilai tambah - Menguasai konsep Dasar TCPIP - Menguasai LINUXBSDMikrotik - Menguasai Wireless Network - Memahami Cisco",-7.6894175,110.3812904,IPTEK
Teknisi Jaringan Internet,PT. GLOBAL MEDIA PRATAMA SOLUSINDO,Teknisi Jaringan,Sleman,"Teknisi Instalasi Fiber Optik, Menguasai TCPIP dan Jaringan - Menguasai perangkat wireless LAN dan Fiber Optik lebih disukai - Menguasai Operating system Mikrotik - Menguasai dan memiliki pengetahuan tentang jaringan Wireless maupun Fiber Optik -Menguasai teknologi lama dan bar",-7.6894175,110.3812904,IPTEK
Kepala Teknisi Jaringan,PT. GLOBAL MEDIA PRATAMA SOLUSINDO,Teknisi Jaringan,Yogyakarta,"Instalasi Jaringan Lan, Fiber Optik Maintenance., Manajemen VLAN pada Cisco switch",-7.801349,110.3647351,IPTEK
Radio Network Optimization (RNO),PT Matawari Lintas Nusa,Network Engineer,Medan,Pengalaman dalam bidang optim 4G dan 5G,3.5894617,98.6741623,IPTEK
Cloud Solution Architect,PT Global Media Devid,Cloud Engineer,Jakarta,"Draw.io, Basic IT Audit ISO 27001, AWS Certified Solutions Architect - Associate, Cloud Tools AWS EC2, S3, Terraform basic, Kubernetes conceptual, CI/CD",-6.1754049,106.827168,IPTEK
Project Officer,PT. SANDANG SOLUSI SEMESTA,Project Officer,Depok,"Project management, Analysis, Detail Attention",-6.40719,106.8158371,NON-IPTEK
Full Stack Engineer,PT. SANDANG SOLUSI SEMESTA,Full Stack Developer,Depok,"MySQL, MongoDB, Javascript - Typescript NodeJs, ReactJs, NestJs, Database PostgreSQL, Menguasi RestFul API",-6.40719,106.8158371,IPTEK
Programmer ODOO,ECAT IT & CCTV,Programmer / Software Development,Surabaya,"Database PostgreSQL, Phyton, Odoo ERP Enterprise Resource Planning,",-7.2462836,112.7377674,IPTEK
Admin Project,PT Matawari Lintas Nusa,Admin Project,Balikpapan,"Microsoft Office Word, Excel, Power Point, Visio",-1.2398711,116.8593379,NON-IPTEK
Marketing Executive,PT Maxindo Mitra Solusi,Marketing Executive,Jakarta,Komunikasi,-6.1754049,106.827168,NON-IPTEK
Senior Sales Executive (ISP),PT Jangkau Lintas Nusantara,Senior Sales,Tangerang,"Negosiasi, Penjualan dan pemasaran, Komunikasi",-6.1761924,106.6382161,NON-IPTEK
IT Support,PT. Inti Nya Teknologi,IT Support,Jakarta,"Teamwork, Komunikasi, Instalasi cct",-6.1754049,106.827168,IPTEK
Full Stack Developer,PT. Graha Vinoti Kreasindo,Full Stack Developer,Jakarta,"Data Base MySQL, postgreSQL, IT Progamming",-6.1754049,106.827168,IPTEK
Junior Sales (Retail Internet),PT Jangkau Lintas Nusantara,Sales Area,Tangerang,"Negosiasi, Selling a product, Komunikasi",-6.1761924,106.6382161,NON-IPTEK
IT Web Development,Yayasan Global Insan Mulia,Web Developer,Cikarang,"Codeigniter PHP Framework, Java, MySQL, IT Bussines Development Â Analyst, Python, PostgreSQL, Programmer",-6.2553138,107.1450733,IPTEK
Staf IT Support,PT. Nurra Eye Center Kerinci,IT Support,Kerinci,"Jaringan Komputer Installasi Komputer, Service, Jaringan LAN, WAN",-2.0633382,101.6001052,IPTEK
Teknisi IKR (Instalasi Kedalam Rumah),PT. Rizki Prima Sakti,Teknisi Jaringan,Palangka Raya,"Memiliki kemampuan dan pemahaman pada jaringan fiber optic. - Mampu mengoperasikan alat ukur fiber optic Splicer, OPM, OTDR, OLS",-2.2072919,113.9164372,IPTEK
Team Leader Instalasi (Survey BTS),PT. GARUDA ESCAMAS,Teknisi Instalasi,Jakarta,- Team leader and coordinating,-6.1754049,106.827168,IPTEK
IT-NOC (Network Operating Center),PT Pasifik Wija Teknologi,Network Engineer,Tanjung Selor,"Computer and Network Engineering., NETWORK AND ENGINERING, Keahlian yang dibutuhkan meliputi pemeliharaan infrastruktur TI, keamanan informasi, pengelolaan jaringan komputer, pengembangan aplikasi, pelatihan pengguna, pemantauan kinerja sistem, dan kepatuhan regulasi TI.",2.8417588,117.3687302,IPTEK
Sales,PT. APPSKU APLIKASI INDONESIA,Sales Executive,Yogyakarta,Penjualan atau marketing,-7.801349,110.3647351,NON-IPTEK
Staf Pengembangan Bisnis/Pemasaran,PT. Sartono Media,Penjualan & Konsultan IT,Jakarta,Pemasaran,-6.1754049,106.827168,NON-IPTEK
IT Support Admin,PT Raga Karya Diwangsa,IT Support,Tangerang Selatan,"MySQL, IT Hardware dan Software, Desain Grafis dengan software Adobe Photoshop, Illustrator, Corel Draw, IT konfigurasi dan Instalasi Hardware dan software komputer konfigurasi dan Instalasi jaringan dan CCTV konfigurasi dan Instalasi database konfigurasi dan Instalasi Security IT, IT jaringan, Website Administrator, Phyton",-6.3227016,106.7085737,IPTEK
DevOps & Security Engineer,PT SHANKARA CABOT BAJRA DANAPATI,DevOps Engineer,Bandung,"Software, Server Docker, NodeJS, Apache, MariaDB, Ubuntu Server, Windows Server 2016, Cloud Computing AWS, AWS, Cloudflare, Git, Some AWS cloud services, Cloud Computing AWS, google cloud, microsoft azure",-6.9218457,107.6070833,IPTEK
IT Support Help Desk,PT SHANKARA CABOT BAJRA DANAPATI,IT Support,Bandung,"Software, Mengerti Server",-6.9218457,107.6070833,IPTEK
Mobile Developer (Android & iOS),PT SHANKARA CABOT BAJRA DANAPATI,Mobile App Developer,Bandung,"Software, Android Java, Kotlin, Flutter",-6.9218457,107.6070833,IPTEK
Teknisi Instalasi Jaringan IKR (Fiber Optic),PT. Telekom Adhikari Pratama,Teknisi Jaringan,Remote,"teknik listrik dan jaringan, Teknik elektonik",,,IPTEK
IT Support Helpdesk iPos - Event,PT Avatar Solusi Digital,IT Support,Denpasar,"Manajemen waktu, Komunikasi",-8.6524973,115.2191175,NON-IPTEK
UI/UX Designer,PT Avatar Solusi Digital,UI/UX Designer,Jakarta,UI UX,-6.1754049,106.827168,IPTEK
Helpdesk IT,PT. Borneo Twindo Group,IT Support,Bengkayang,"Javascript, MySQL, Html, Css, Java Android, Bahasa Pemrograman JavaScript dan Pyton",1.0157755,109.7080333,IPTEK
Staff Teknik Informatika /Programmer,PT Anugerah Nusa Dinamika (AND Learning & Coaching),IT Support,Bandung,"Mahir dan menguasai microsoft word dan microsoft excell skill expert, Menguasai internet database,",-6.9218457,107.6070833,IPTEK
Software Testing / Quality Assurance,PT Avatar Solusi Digital,Software Consultant,Jakarta,"Software, Quality Assurance",-6.1754049,106.827168,IPTEK
React Native Developer,PT SHANKARA CABOT BAJRA DANAPATI,Programmer / Software Development,Bandung,"Software, Technology Information and Communication",-6.9218457,107.6070833,IPTEK
Front End Developer - Next JS,PT SHANKARA CABOT BAJRA DANAPATI,Front End Developer,Bandung,"Software, Docker, Typescript, Tailwind, Technology Information and Communication, react, Codeigniter, Laravel, VueJS, NestJS, NextJS, Wordpress, Adaptif dan Tangguh dalam Tekanan",-6.9218457,107.6070833,IPTEK
QA Engineer,PT SHANKARA CABOT BAJRA DANAPATI,Software Testing & QA,Bandung,"Tanggap cekatan dengan pekerjaan, Tangguh dalam Tekanan, empati, analisis, berpikir kritis, dan kecerdasan emosiona",-6.9218457,107.6070833,IPTEK
Flutter Developer,PT SHANKARA CABOT BAJRA DANAPATI,Flutter Developer,Bandung,"Software, Technology Information and Communication",-6.9218457,107.6070833,IPTEK
IT Support,PT. Subaga Digital Medika,IT Support,Bandung,"ERP, MySQL PostgreeSQL, VUEJS, Laravel",-6.9218457,107.6070833,IPTEK
Sales Corporate,PT. Mandiri Artha Solusi,Sales Corporate,Bekasi,"Negosiasi, Komunikasi dan negosiasi dengan baik.",-6.2349858,106.9945444,NON-IPTEK
Website Administrator / Web Development,Inti Sentosa Bersama,Web Administrator,Jakarta,"Wordpress Baik Ahli dalam membuat website melalui CMS, 2)	Pengetahuan  memgembangkan toko online :      a) WordPress /WooCommerce: instal, mengonfigurasi theme, dan menambahkan plugin.",-6.1754049,106.827168,IPTEK
Full Stack Programmer,PT. Abelindo Multi Digital,Full Stack Developer,Blitar,"PHP, PHP Codeigniter, native, css, Javascript JQuery, PHP, CodeIgniter, Laravel, Panada, codeiginiter, Familiar dengan HTML, Javascript and PHP codeigniter programming languages - Familiar dengan SQL server database or MySQL - Familiar dengan Api Restfull API JSON - Terbiasa dengan management source coderepository baik clone atau by git, Laravel",-8.1311983,112.3115572,IPTEK
Staff Pengembangan Jaringan,PT ITEP TECHNOLOGY INDONESIA,Teknisi Jaringan,Jakarta,"Negosiasi, Analisa pasar, Komunikasi",-6.1754049,106.827168,NON-IPTEK
Product Specialis,Askara Advertensi Internasional,Penjualan & Konsultan IT,Jakarta,"Presentation, product consultant, Accounting Knowledge",-6.1754049,106.827168,NON-IPTEK
Sales,PT. APPSKU APLIKASI INDONESIA,Sales Executive,Remote,"Negosiasi, Sales, Sales and Marketing, upsell",,,NON-IPTEK
IT Web Programmer,Ryucargo,Web Programmer,Jakarta,"MySQL, Html, CSS, HTML, Bootstrap, Materialize",-6.1754049,106.827168,IPTEK
Tim Instalasi,PT Matawari Lintas Nusa,Teknisi Jaringan,Medan,"bekerja di ketinggian, bisa menggunakan komputer",3.5894617,98.6741623,NON-IPTEK
Teknisi Laptop/Komputer,WIRA MAKMUR PRATAMA,Teknisi Komputer,Jakarta,"PC Installation, PC HARDWARE AND SOFTWARE Troubleshoot",-6.1754049,106.827168,IPTEK
Backend Developer,PT. Meroket Bersama Iyote,Back End Developer,Depok,"MySQL, Python, Database PostgreSQL, FastAPI",-6.40719,106.8158371,IPTEK
Junior Website Developer,IGB Media,Web Developer,Surabaya,"PHP, CSS3, HTML5, Javascript, Codeigniter PHP Framework, PHP, CodeIgniter, Laravel, Panada",-7.2462836,112.7377674,IPTEK
IT Support,CV Media Supply Indonesia,IT Support,Surabaya,"IT Support Analyze, Troubleshoot, Installing",-7.2462836,112.7377674,IPTEK
IT Support,PT JAYA NIAGA SEJAHTERA,IT Support,Jakarta,"Network, Cctv",-6.1754049,106.827168,IPTEK
Teknisi,PT Cybersama Technology,IT Support,Jakarta,Tekhnisi CCTV Jaringan.,-6.1754049,106.827168,IPTEK
Software Developer Internship,PT Tourin Wisata Global,Software Developer,Jakarta,"Web developer, Mobile Application Developer, FLUTTER DART, NODE JS, laravel api",-6.1754049,106.827168,IPTEK
Staff Data Annotation,Alpha Innovation Technology,Data Science & AI,Tangerang,"Software, Presentasi dan Komunikasi",-6.1644013,106.4679311,NON-IPTEK
Admin IT Support,PT BPR Gunung Arjuna,IT Support,Malang,"Komunikasi, excel",-7.9771308,112.6340265,IPTEK
Teknisi IKR,PT. Rizki Prima Sakti,Teknisi Jaringan,Banjarmasin,"Memiliki kemampuan dan pengetahuan pada jaringan fiber optic. - Mampu mengoperasikan alat ukur fiber optic Splicing, OPM, OTDR, OLS",-3.3187496,114.5925828,IPTEK
IT Support,PT Tirta Niaga Timur,IT Support,Jakarta,"MAINTENACE Hardware Komputer, Instal repair computer software, hardware computer, Servis dan Perbaikan Printer",-6.1754049,106.827168,IPTEK
Tim Instalasi Jaringan,PT Matawari Lintas Nusa,Teknisi Jaringan,Semarang,Bekerja di ketinggian,-6.9903988,110.4229104,NON-IPTEK
Tim Instalasi Jaringan,PT Matawari Lintas Nusa,Teknisi Jaringan,Pekanbaru,Bekerja di ketinggian,0.5262455,101.4515727,NON-IPTEK
Mobile Developer,Cudo Communications,Mobile App Developer,Tangerang Selatan,"Android, ios, React Native, OOP",-6.3227016,106.7085737,IPTEK
Staff Full Stack Developer,PT Tourin Wisata Global,Full Stack Developer,Jakarta,"Web developer, Android, Flutter, ANDROID, IOS MOBILE DEVELOPMENT, Laravel",-6.1754049,106.827168,IPTEK
Junior Full Stack Developer,PT Tourin Wisata Global,Full Stack Developer,Jakarta,"Web, Android, Flutter, ANDROID, IOS MOBILE DEVELOPMENT, Bootsrap, Laravel, bootstrap",-6.1754049,106.827168,IPTEK
Staff IT,PT. Naga Indonesia Plywood,Kepala Produksi,Wonogiri,"Cctv, LAN and internet",-7.9620507,110.9575733,NON-IPTEK
IT Sales,PT.BITS MILIARTHA,Sales Consultant,Surabaya,"Negosiasi dan Marketing, Penjualan atau marketing, Komunikasi",-7.2462836,112.7377674,NON-IPTEK
IT Support,PT Sregep Serendipity Konstruksi,IT Support,Tangerang,"Mengerti jaringan komputer, Linux, LAN WAN",-6.1644013,106.4679311,IPTEK
IT Support,Klinik Sahid Sahirman Medical Centre,IT Support,Jakarta,"IT Hardware dan Software, Microsoft, Jaringan Komputer, Aplikasi RME, Microsoft Excell, amp",-6.1754049,106.827168,IPTEK
Project Manager (FTTH),PT Buana Menara Indonesia,Project Manager,Tangerang,"Negotiable Skills, Project Management and Reporting, Memiliki pengetahuan FFTH dan Mode Converter Fiber Optik",-6.1761924,106.6382161,NON-IPTEK
Tim Instalasi Jaringan,PT Matawari Lintas Nusa,Teknisi Jaringan,Balikpapan,Bekerja di ketinggian,-1.2398711,116.8593379,NON-IPTEK
Java Programmer,PT Jasamedika Saranatama,Java Developer,Bandung,"PHP, Css, jQuery, HTML 5, Angular, Java Spring Boot, Operating RDBMS like MySQL, Oracle DB, Maria DB, and Microsoft SQL Server., Menguasi RestFul API, Bootstrap dan Git Repository",-6.9218457,107.6070833,IPTEK
Admin Sistem ERP,Hk.Lollipop,Admin ERP,Bandung,"Software, Enterprise Resource Planning ERP Program ODOO 8 ODOO 12",-6.9218457,107.6070833,NON-IPTEK
Mobile / Android Programmer,PT. Floo Integra Digital,Android Developer,Sidoarjo,"Menguasai Pemrograman Android seperti Java atau Kotlin, Menguasai Flutter lebih diutamakan, Memahami dan menguasai penggunaan REST API",-7.4539769,112.6593869,IPTEK
Teknisi Pemasangan WiFi,PT. Rizki Prima Sakti,Teknisi Jaringan,Pontianak,Configuration Access Point WiFi,-0.0226903,109.3447488,IPTEK
ICT Technical Support,PT. SWISCO SOLUSI TEKNOLOGI,IT Support,Batam,"Computer Network Operations, IT Hardware Support",1.1030815,104.0383696,IPTEK
Full Stack Developer,Maju Bersama Sejahtera,Full Stack Developer,Surabaya,"Javascript, Html, Css, Vue JS, NODE JS, Database SQL server Management, Ms Access, Ms Excel, Ms Word, Ms PP, Laravel",-7.2462836,112.7377674,IPTEK
Full Stack Developer,PT IURIS INTERNATIONAL INDONESIA,Full Stack Developer,Remote,"IT Hardware dan Software, Computer Hardware",,,IPTEK
IT Support,PT. FTF Globalindo,IT Support,Kuningan,"Networking, troubleshooting, instalasi software, Instalasi Komputer, Memahami jaringan LANWANMAN, Memahami Server",-6.9869841,108.5538158,IPTEK
Sales Marketing,PT. FTF Globalindo,Sales Marketing,Makassar,"Memiliki pengetahuan tentang dunia IT khususnya di bidang hardware dan software - Terbiasa dengan Media Sosial Facebook, Instagram, DII - Menguasai Basic Digital Marketing Sosial Media Marketing - Memiliki kemampuan negoisasi yang baik - Memili",-5.1342962,119.4124282,NON-IPTEK
IT Support,KJPP HERMAN MEIRIZKI DAN REKAN,IT Support,Jakarta,"Konfigurasi Mikrotik, Router, Jaringan LANWAN, SQL Server, Komunikasi",-6.1754049,106.827168,IPTEK
Teknisi,PT. Rizki Prima Sakti,Telekomunikasi,Samarinda,Mengerti Tentang Jaringan Telekomunikasi,-0.5017804,117.1393089,IPTEK
Pre-Sales Engineer,PT MEDIA BERSAMA SUKSES,Presales Staff,Surabaya,"Komputer, Jaringan, Cctv",-7.2462836,112.7377674,NON-IPTEK
Teknisi Jaringan Vsat - Penempatan Denpasar,PT. Ibinet Global Nusatindo,Teknisi Jaringan,Denpasar,"Jaringan Design Konfigurasi router MikroTik, Jaringan Instalasi Mikrotik dan VPN, Jaringan Komputer Installasi Komputer, Service, Jaringan LAN, WAN",-8.6524973,115.2191175,IPTEK
Sales Executive,PT. Floo Integra Digital,Sales Executive,Sidoarjo,"B2B Sales proses Follow up, Cold Calling, sales pitching, Having good knowledge in various IT technologies networking, security, collaboration tools, etc - Having good communication and presentation skill - Having knowledge about ERP is a plus",-7.4539769,112.6593869,NON-IPTEK
Sales Marketing,PT. FTF Globalindo,Sales Supervisor,Bekasi,"Memiliki pengetahuan tentang dunia IT khususnya di bidang hardware dan software - Terbiasa dengan Media Sosial Facebook, Instagram, DII - Menguasai Basic Digital Marketing Sosial Media Marketing - Memiliki kemampuan negoisasi yang baik - Memili",-6.2349858,106.9945444,NON-IPTEK
Staf IT Support,SALUT WIBAWA SAKTI,IT Support,Bekasi,"Menguasai Microsoft Office, Jaringan Internet, Desain Flyer, Video Iklan",-6.2349858,106.9945444,IPTEK
IT Programmer,PT Persona Prima Utama,Junior Programmer,Jakarta,"Memiliki kemampuan Bekerja secara Tim 2. Menguasai Full stack development phyton, sql, json, restAPI, android, web 3. Menguasai Dasar Metode Agile Development 4. Akan menjadi nilai lebih jika telah memiliki pengalaman pengembangan aplikasi 5. Me",-6.1754049,106.827168,IPTEK
IT Manager,PT Persona Prima Utama,Manajemen & Strategi IT,Jakarta,"Memiliki kemampuan Bekerja secara Tim 2. Menguasai Full stack development phyton, sql, json, restAPI, android, web 3. Menguasai Dasar Metode Agile Development 4. Akan menjadi nilai lebih jika telah memiliki pengalaman pengembangan aplikasi 5. Me",-6.1754049,106.827168,IPTEK
Teknisi Server Komunikasi,PT. Tele Globe Global,Teknisi Jaringan,Bekasi,Bisa dan Faham instalasi CCTV - Memiliki Pengalaman Fiber Optic - Project Communication - Paham tentang PABX,-6.2349858,106.9945444,IPTEK
Teknisi Laptop,FC Computer PIK,Teknisi Komputer,Jakarta,"Memahami komponen amp, mampu memperbaiki motherboard, IC, VGA Card, Chipset Jalur -Memiliki kemampuan menganalisa amp, berpengalaman sukses di bidang troubleshoot software amp, hardware komputer, laptop, adaptor, printer, scanner, jaringan, dan",-6.1754049,106.827168,IPTEK
Staff IT,PT. Sebastian Jaya Metal,Help Desk & IT Support,Bekasi,"Menguasai bahasa program PHP, Data base SQL, Frame work codeigneter memiliki keahlian Programming - Memiliki pengalaman membuat dan mendesign web - Menguasai jaringan lokal dan internet LANWAN - Mengerti troubleshooting, hardware, software - M",-6.2349858,106.9945444,IPTEK
Staff IT,PT. Kediri Matahari Corn Mills,Web Developer,Kediri,"Web desain, SQL, SQL Database, Back-end dan Front-end programmer, Basic Phyton",-7.8111057,112.0046051,IPTEK
Golang Developer,PT SHANKARA CABOT BAJRA DANAPATI,Golang Developer,Bandung,"Software, Adaptif dan Tangguh dalam Tekanan",-6.9218457,107.6070833,NON-IPTEK
Teknisi IKR (Instalasi Kedalam Rumah),PT. Rizki Prima Sakti,Teknisi Jaringan,Balikpapan,"Memiliki kemampuan dan pengetahuan pada jaringan fiber optic. - Mampu mengoperasikan alat ukur fiber optic Splicing, OPM, OTDR, OLS",-1.2398711,116.8593379,IPTEK
Teknisi IKR (Instalasi Kedalam Rumah),PT. Rizki Prima Sakti,Telekomunikasi,Pekalongan,"Teknisi Instalasi Fiber Optik, Paham pemasangan ikr fiber optic",-6.8905065,109.6761489,IPTEK
Help Desk Specialist,Pay2Home Direct (Singapore) Pte Ltd,IT Support,Batam,"English, IT Skill",1.1030815,104.0383696,IPTEK
IT Support Help Desk,PT Teknologika Integrator Indonesia,IT Support,Jakarta,"My SQL, Linux, Data base, server, INGGRIS AKTIF PASIF, Database My SQL, Microsoft access, Oracle.",-6.1754049,106.827168,IPTEK
Staff Sales Project,PT. FTF Globalindo,Sales Project,Medan,"Dapat berkomunikasi dengan baik - Menguasai MS.Office - Dapat melakukan inovasi, inovasi dalam memasarkan produk - Dapat melakukan presentasi dengan baik didepan client",3.5894617,98.6741623,NON-IPTEK
Operator Jointer,PT. Rizki Prima Sakti,Telekomunikasi,Cilacap,"Equipment maintenance, Computer Maintenance, maintenance mechanical., Maintenance and repair, Engineering Maintenance",-7.461671,108.8046146,IPTEK
IT Support,PT KINARYA ALIHDAYA MANDIRI Regional Jawa Barat,IT Support,Cirebon,"Troubleshooting Komputer, Networking, Instalasi jaringan wirelessnetwork lan, OS Linux",-6.7137044,108.5608483,IPTEK
IT (Hard ware) Officer,PT ZHULIAN AZANA NETWORK,Help Desk & IT Support,Medan,"Familiarity with common hardware and software applications used in a business environment, Excellent communication and customer service skills",3.5894617,98.6741623,IPTEK
Staff IT Support,PT. Global Solusi Sejahtera,IT Support,Bogor,"Menguasai instalasi dan konfigurasi CCTV, alarm - Pemahaman jaringan komputer LANWiFi",-6.5963564,106.7973188,IPTEK
IT Support,PT. FTF Globalindo,IT Support,Deli Serdang,"Networking, troubleshooting, instalasi software, Instalasi Komputer, Memahami Server, MemahamiJaringan LANWANMAN, MengertiKomputer",3.4744538,98.7158975,IPTEK
Guru Komputer Jaringan,SMK PRAKARYA INTERNASIONAL,Guru Komputer,Bandung,"Menguasai System operasi Linux dibuktikan dgn sertifikat, Menguasai Jaringan berbasis Luas, Menguasai Administrasi Server Berbasis Windows dan Linux, Mampu MerancangMendesain Jaringan Berbasis Server, Menguasai System operasi Router",-6.9218457,107.6070833,IPTEK
IT Support,PT. FTF Globalindo,IT Support,Kupang,"Networking, troubleshooting, instalasi software, Instalasi Komputer, Memahami jaringan LANWANMAN, Memahami Server",-10.1632209,123.6017755,IPTEK
Engineer Mesin ATM,PT KINARYA ALIHDAYA MANDIRI Regional Jawa Barat,Help Desk & IT Support,Sukabumi,"Familiar dengan windows Linux sebagai nilai plus 2. Terbiasa melakukan troubleshoot jaringan, troubleshoot laptoppc dan instalasi jaringan 3. Memiliki sertifikasi jaringan CCNAMTCNA 4. Menguasai Basic Dasar Network 5. Menguasai hardware dan sh",-7.0764509,106.7346608,IPTEK
Oracle Erp Assistant Consultant,PT. Amanah Seruan Alam,Sistem & Analisis IT,Jakarta,"Finance, supply chain, and human resources modules - Analytical, communication, and teamwork skills - Proficient in English",-6.1754049,106.827168,IPTEK
SAP Technical Consultant,PT. Amanah Seruan Alam,Technical Support,Jakarta,"Fluent in English - Java, JavaScript - Understanding of databeses and proficiency in SQL - Good communication and collaboration skills",-6.1754049,106.827168,NON-IPTEK
Backend Technical Consultant,PT. Amanah Seruan Alam,Back End Developer,Jakarta,"Java, Python, or Node.js RESTful API design, database management, and caching mechanisms Backend frameworks and tools e.g., Spring Boot, Django, Express.js Containerisation technologies like Docker and deployment practicies such as CICD Experience",-6.1754049,106.827168,IPTEK
IT Programmer Development,RS Ananda Group,.Net Programmer,Bekasi,"Penguasaan database management dan bahasa query SQL Server Oracle - Pengalaman dengan teknologi web server dan integrasi cloud computing - Kemampuan dalam pengembangan software server-side menggunakan bahasa seperti Java, Python, C, .Net - Fam",-6.2349858,106.9945444,IPTEK
Web Interface Developer,PT. Loker Asli Indonesia,Front End Developer,Remote,"Berpengalaman dengan React Router, diutamakan yang pernah menggunakan Remix. 2. Pernah membuat aplikasi mobile menggunakan React Native, diutamakan yang pernah dipublikasikan ke App Store atau Play Store. 3. Mampu masuk ke sistem existing. 4. Clea",,,IPTEK
Staff Teknisi CCTV,PT. FOKUS VISION TEKNOLOGI,Teknisi CCTV,Tangerang,"Mampu secara mandiri Instalasi CCTV dan setting Jaringan Online, Dapat mengatasi troubleshooting peralatan CCTV yang bermasalah",-6.1644013,106.4679311,IPTEK
